song_id,song_title,spotify_id,lastfm_url
181,<<<F△i†H>>,NULL,https://www.last.fm/music/%E2%9C%9D+DE%E2%96%B3D+VIRGIN+%E2%9C%9D/_/%3C%3C%3CF%E2%96%B3i%E2%80%A0H%3E%3E
182,▲|||,NULL,https://www.last.fm/music/%E2%9C%9D+DE%E2%96%B3D+VIRGIN+%E2%9C%9D/_/%E2%96%B2%7C%7C%7C
183,†▲,NULL,https://www.last.fm/music/%E2%9C%9D+DE%E2%96%B3D+VIRGIN+%E2%9C%9D/_/%E2%80%A0%E2%96%B2
184,†††,NULL,https://www.last.fm/music/%E2%9C%9D+DE%E2%96%B3D+VIRGIN+%E2%9C%9D/_/%E2%80%A0%E2%80%A0%E2%80%A0
185,Hoodwytch2013,NULL,https://www.last.fm/music/Skeletonkids/_/Hoodwytch2013
186,Lemonade,NULL,https://www.last.fm/music/Skeletonkids/_/Lemonade
187,COAST2COAST,NULL,https://www.last.fm/music/Skeletonkids/_/COAST2COAST
188,Outro,NULL,https://www.last.fm/music/Kazan+&+After+Taste/_/Outro
189,"Dernières nouvelles",NULL,https://www.last.fm/music/Kazan/_/Derni%C3%A8res+nouvelles
190,Epilog,NULL,https://www.last.fm/music/Downfall+of+Gaia/_/Epilog
191,"1000 Nadeln",NULL,https://www.last.fm/music/Downfall+of+Gaia/_/1000+Nadeln
192,"You Are Bleeding. Every Shed Of Light Is Dying",NULL,https://www.last.fm/music/In+the+Hearts+of+Emperors/_/You+Are+Bleeding.+Every+Shed+Of+Light+Is+Dying
193,Zerfall,NULL,https://www.last.fm/music/Downfall+of+Gaia/_/Zerfall
194,Prolog,NULL,https://www.last.fm/music/Downfall+of+Gaia/_/Prolog
195,FADE,NULL,https://www.last.fm/music/Crim3s/_/FADE
196,"Dream Is Gone (∆AIMON Remix)",NULL,https://www.last.fm/music/Tash+Willmore/_/Dream+Is+Gone+(%E2%88%86AIMON+Remix)
197,"Blind Are Breeding",NULL,https://www.last.fm/music/Modern+Life+Is+War/_/Blind+Are+Breeding
198,Sirens,NULL,https://www.last.fm/music/oOoOO/_/Sirens
